Model,Rank,shrink,item_knn_topk,NDCG@10,Log File,hidden_dimension,latent_dimension,anneal_cap,embedding_dim,n_layers
ItemKNN,1,10.0,200.0,0.28776147729286383,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_223213.log,,,,,
ItemKNN,2,10.0,150.0,0.2852796511251313,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_222215.log,,,,,
ItemKNN,3,20.0,200.0,0.2841051703357063,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_223334.log,,,,,
ItemKNN,4,1.0,150.0,0.28321333283006844,ml-100k model hyperparameter search\ml-100k_ItemKNN_0628_212026.log,,,,,
ItemKNN,5,10.0,100.0,0.28315553909694974,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_221156.log,,,,,
ItemKNN,6,20.0,150.0,0.28261485752376664,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_222335.log,,,,,
ItemKNN,7,0.5,150.0,0.28208233451469145,ml-100k model hyperparameter search\ml-100k_ItemKNN_0628_211908.log,,,,,
ItemKNN,8,10.0,50.0,0.2815890589109748,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_220140.log,,,,,
ItemKNN,9,1.0,100.0,0.28127323552445443,ml-100k model hyperparameter search\ml-100k_ItemKNN_0628_211753.log,,,,,
ItemKNN,10,30.0,200.0,0.28109492335626296,ml-100k model hyperparameter search\ml-100k_ItemKNN_0626_223451.log,,,,,
MultiVAE,1,,,0.30157458962134764,ml-100k model hyperparameter search\ml-100k_MultiVAE_0628_210940.log,800.0,200.0,0.4,,
MultiVAE,2,,,0.2911767406977903,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_215229.log,800.0,200.0,0.3,,
MultiVAE,3,,,0.2859308045444469,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_215530.log,800.0,300.0,0.2,,
MultiVAE,4,,,0.2855585592454365,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_214925.log,800.0,200.0,0.2,,
MultiVAE,5,,,0.2850258218723637,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_214012.log,600.0,200.0,0.3,,
MultiVAE,6,,,0.28265181127650263,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_214622.log,600.0,300.0,0.3,,
MultiVAE,7,,,0.28154681593497455,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_215829.log,800.0,300.0,0.3,,
MultiVAE,8,,,0.2782937595337581,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_213703.log,600.0,200.0,0.2,,
MultiVAE,9,,,0.274815124621213,ml-100k model hyperparameter search\ml-100k_MultiVAE_0626_214318.log,600.0,300.0,0.2,,
LightGCN,1,,,0.341868410740092,ml-100k model hyperparameter search\ml-100k_LightGCN_0629_163133.log,,,,128.0,4.0
LightGCN,2,,,0.34097724869684176,ml-100k model hyperparameter search\ml-100k_LightGCN_0626_233558.log,,,,128.0,3.0
LightGCN,3,,,0.3330412394405559,ml-100k model hyperparameter search\ml-100k_LightGCN_0626_230822.log,,,,64.0,4.0
LightGCN,4,,,0.33274654846631657,ml-100k model hyperparameter search\ml-100k_LightGCN_0628_225038.log,,,,128.0,4.0
LightGCN,5,,,0.32892116089459467,ml-100k model hyperparameter search\ml-100k_LightGCN_0626_224244.log,,,,64.0,3.0
