Model,Rank,shrink,item_knn_topk,NDCG@10,Log File,hidden_dimension,latent_dimension,anneal_cap,embedding_dim,n_layers
ItemKNN,1,10.0,50.0,0.30083337265222204,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_035902.log,,,,,
ItemKNN,2,10.0,100.0,0.2993190213775302,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_043257.log,,,,,
ItemKNN,3,5.0,200.0,0.2988892998191143,ml-1m model hyperparameter search\ml-1m_ItemKNN_0629_035348.log,,,,,
ItemKNN,4,25.0,50.0,0.2988321556404467,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_040552.log,,,,,
ItemKNN,5,10.0,50.0,0.29882191134381303,ml-1m model hyperparameter search\ml-1m_ItemKNN_u0.5_s0.5_pTrue_0629_181018.log,,,,,
ItemKNN,6,10.0,150.0,0.2977356902381161,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_050722.log,,,,,
ItemKNN,7,5.0,50.0,0.2973986942478091,ml-1m model hyperparameter search\ml-1m_ItemKNN_u0.5_s0.5_pTrue_0629_175836.log,,,,,
ItemKNN,8,10.0,200.0,0.2971287306980344,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_054205.log,,,,,
ItemKNN,9,25.0,100.0,0.2931212842577632,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_043950.log,,,,,
ItemKNN,10,50.0,50.0,0.2920354837232468,ml-1m model hyperparameter search\ml-1m_ItemKNN_0627_041224.log,,,,,
MultiVAE,1,,,0.3048355262848183,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_084556.log,800.0,200.0,0.3,,
MultiVAE,2,,,0.3031641904183601,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_211500.log,800.0,200.0,0.4,,
MultiVAE,3,,,0.30258413810018536,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_070235.log,600.0,200.0,0.3,,
MultiVAE,4,,,0.3019009115492867,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_095720.log,800.0,300.0,0.3,,
MultiVAE,5,,,0.3012861935743457,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_075344.log,600.0,300.0,0.3,,
MultiVAE,6,,,0.30000596121035716,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_091255.log,800.0,300.0,0.2,,
MultiVAE,7,,,0.29831151894850005,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_082033.log,800.0,200.0,0.2,,
MultiVAE,8,,,0.2970515210474248,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_063657.log,600.0,200.0,0.2,,
MultiVAE,9,,,0.29643246770360704,ml-1m model hyperparameter search\ml-1m_MultiVAE_0628_072729.log,600.0,300.0,0.2,,
LightGCN,1,,,0.30802667993313143,ml-1m model hyperparameter search\ml-1m_LightGCN_0629_005924.log,,,,128.0,4.0
LightGCN,2,,,0.2983491881270264,ml-1m model hyperparameter search\ml-1m_LightGCN_0628_145748.log,,,,64.0,4.0
LightGCN,3,,,0.29161235816161735,ml-1m model hyperparameter search\ml-1m_LightGCN_0628_113344.log,,,,64.0,3.0
